seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4017,75,mappo_on,338,112,465.891,385.0,977.0,2.7422,1.0,209,0,463.757,1.0,472.33,1.0,463.757,1.0,145,0.0,0,0.0,11.9
4023,100,mappo_off,450,0,609.231,582.0,1112.6,2.0511,1.0,272,0,609.231,1.0,,,609.231,1.0,272,0.0,0,0.567,20.3
4021,75,mappo_off,338,112,397.991,349.0,797.3,2.4944,1.0,175,0,398.115,1.0,397.616,1.0,398.115,1.0,128,0.0,0,0.5112,11.5
4016,75,dijkstra,338,112,218.258,223.0,370.2,1.7926,1.0,52,0,222.899,1.0,204.25,1.0,222.899,1.0,45,0.0,0,,3.9
4018,50,dijkstra,225,225,359.296,214.0,862.3,4.4465,1.0,163,0,358.902,1.0,359.689,1.0,358.902,1.0,75,0.0,0,,3.2
4025,50,dijkstra,225,225,618.244,572.5,1196.5,2.3008,1.0,235,0,630.649,1.0,605.84,1.0,630.649,1.0,114,0.0,0,,8.7
4015,50,mappo_on,225,225,563.58,554.5,1078.2,2.0974,1.0,270,0,570.471,1.0,556.689,1.0,570.471,1.0,131,0.0,0,0.0,10.7
4019,50,dijkstra,225,225,345.2,324.5,717.6,2.4978,1.0,165,0,348.084,1.0,342.316,1.0,348.084,1.0,87,0.0,0,,3.1
4014,75,dijkstra,338,112,312.433,324.0,531.0,1.7208,1.0,107,0,306.784,1.0,329.482,1.0,306.784,1.0,85,0.0,0,,3.6
4028,75,dijkstra,338,112,695.369,641.5,1310.1,2.2262,1.0,280,0,724.157,1.0,608.491,1.0,724.157,1.0,210,0.0,0,,10.0
4026,75,dijkstra,338,112,549.031,511.5,1125.2,2.2974,1.0,240,0,559.112,1.0,518.607,1.0,559.112,1.0,182,0.0,0,,7.1
4013,75,dijkstra,338,112,577.662,522.5,1170.6,2.3502,1.0,249,0,579.373,1.0,572.5,1.0,579.373,1.0,177,0.0,0,,5.9
4016,10,mappo_off,45,405,198.944,185.5,340.2,2.0245,1.0,36,0,305.378,1.0,187.119,1.0,305.378,1.0,11,0.0,0,0.5909,2.5
4019,75,mappo_on,338,112,319.524,300.5,621.3,2.3113,1.0,136,0,317.583,1.0,325.384,1.0,317.583,1.0,99,0.0,0,0.0,8.2
4013,75,mappo_on,338,112,577.264,559.0,1170.1,2.2182,1.0,250,0,581.098,1.0,565.696,1.0,581.098,1.0,183,0.0,0,0.0,16.3
4027,75,dijkstra,338,112,649.96,571.0,1392.2,2.5853,1.0,255,0,661.003,1.0,616.634,1.0,661.003,1.0,196,0.0,0,,5.8
4023,10,dijkstra,45,405,573.071,522.5,1171.7,2.3762,1.0,267,0,633.711,1.0,566.333,1.0,633.711,1.0,26,0.0,0,,2.6
4014,100,mappo_off,450,0,339.18,326.5,624.3,2.2103,1.0,138,0,339.18,1.0,,,339.18,1.0,138,0.0,0,0.532,11.8
4018,100,mappo_on,450,0,364.173,254.0,873.5,3.6736,1.0,158,0,364.173,1.0,,,364.173,1.0,158,0.0,0,0.0,11.9
4015,75,mappo_off,338,112,602.687,599.0,1055.1,1.9102,1.0,282,0,628.109,1.0,525.964,1.0,628.109,1.0,217,0.0,0,0.488,15.6
4014,25,mappo_on,112,338,301.156,297.0,524.0,1.8724,1.0,98,0,286.902,1.0,305.879,1.0,286.902,1.0,25,0.0,0,0.0,3.8
4027,100,mappo_off,450,0,744.053,733.5,1416.1,2.0767,1.0,282,0,744.053,1.0,,,744.053,1.0,282,0.0,0,0.5977,22.1
4029,75,mappo_off,338,112,333.467,331.0,619.1,2.0116,1.0,140,0,366.204,1.0,234.67,1.0,366.204,1.0,130,0.0,0,0.4158,8.9
4016,50,dijkstra,225,225,215.216,203.5,385.1,1.971,1.0,44,0,222.973,1.0,207.458,1.0,222.973,1.0,25,0.0,0,,2.2
4017,75,mappo_off,338,112,362.84,327.0,696.3,2.28,1.0,150,0,367.05,1.0,350.134,1.0,367.05,1.0,108,0.0,0,0.529,10.5
4018,75,dijkstra,338,112,380.549,245.0,921.4,3.9818,1.0,168,0,372.95,1.0,403.482,1.0,372.95,1.0,117,0.0,0,,4.4
4023,50,mappo_off,225,225,573.591,513.5,1102.1,2.3107,1.0,254,0,665.342,1.0,481.84,1.0,665.342,1.0,143,0.0,0,0.6352,13.8
4011,50,mappo_on,225,225,718.727,715.5,1328.0,1.9955,1.0,291,0,712.351,1.0,725.102,1.0,712.351,1.0,135,0.0,0,0.0,12.9
4024,100,dijkstra,450,0,758.313,729.0,1409.8,2.0497,1.0,290,0,758.313,1.0,,,758.313,1.0,290,0.0,0,,10.9
4012,50,dijkstra,225,225,573.249,534.5,1081.4,2.1927,1.0,262,0,548.973,1.0,597.524,1.0,548.973,1.0,117,0.0,0,,4.4
4018,100,dijkstra,450,0,379.456,239.0,914.1,4.072,1.0,167,0,379.456,1.0,,,379.456,1.0,167,0.0,0,,4.4
4016,100,mappo_on,450,0,201.476,184.5,364.0,2.0878,1.0,36,0,201.476,1.0,,,201.476,1.0,36,0.0,0,0.0,8.8
4015,100,mappo_off,450,0,574.142,569.0,1057.1,2.0009,1.0,268,0,574.142,1.0,,,574.142,1.0,269,0.0,0,0.5057,17.4
4023,75,dijkstra,338,112,628.002,555.5,1200.2,2.3368,1.0,276,0,626.068,1.0,633.839,1.0,626.068,1.0,201,0.0,0,,6.0
4012,50,mappo_off,225,225,1229.424,1349.5,1978.3,1.5527,1.0,366,0,1371.627,1.0,1087.222,1.0,1371.627,1.0,181,0.0,0,0.6531,21.6
4011,10,dijkstra,45,405,711.984,681.5,1351.7,2.1734,1.0,290,0,769.4,1.0,705.605,1.0,769.4,1.0,26,0.0,0,,4.2
4027,50,mappo_on,225,225,657.273,569.5,1417.0,2.6052,1.0,251,0,689.64,1.0,624.907,1.0,689.64,1.0,135,0.0,0,0.0,13.3
4010,50,mappo_off,225,225,1146.831,1272.0,1851.5,1.544,1.0,349,0,1233.253,1.0,1060.409,1.0,1233.253,1.0,179,0.0,0,0.5475,19.9
4029,25,mappo_off,112,338,319.184,330.5,539.3,1.7277,1.0,126,0,393.027,1.0,294.716,1.0,393.027,1.0,47,0.0,0,0.4678,5.1
4025,100,dijkstra,450,0,637.076,605.5,1222.0,2.2455,1.0,238,0,637.076,1.0,,,637.076,1.0,239,0.0,0,,12.6
4024,25,dijkstra,112,338,715.704,669.0,1375.3,2.1961,1.0,282,0,726.554,1.0,712.109,1.0,726.554,1.0,73,0.0,0,,5.5
4027,75,mappo_off,338,112,717.322,712.5,1383.1,2.0472,1.0,280,0,777.47,1.0,535.804,1.0,777.47,1.0,228,0.0,0,0.5979,20.0
4021,10,mappo_off,45,405,465.738,390.0,979.7,2.7005,1.0,203,0,416.889,1.0,471.165,1.0,416.889,1.0,19,0.0,0,0.624,4.3
4020,100,mappo_on,450,0,236.738,235.0,390.1,1.7447,1.0,65,0,236.738,1.0,,,236.738,1.0,65,0.0,0,0.0,9.5
4016,100,mappo_off,450,0,269.702,231.0,506.3,2.368,1.0,100,0,269.702,1.0,,,269.702,1.0,101,0.0,0,0.4004,9.8
4022,50,mappo_off,225,225,566.573,514.0,1088.0,2.2516,1.0,250,0,595.098,1.0,538.049,1.0,595.098,1.0,132,0.0,0,0.6329,11.1
4011,10,mappo_on,45,405,689.227,686.5,1288.4,1.9775,1.0,284,0,747.311,1.0,682.773,1.0,747.311,1.0,30,0.0,0,0.0,7.1
4024,10,mappo_off,45,405,682.584,645.0,1314.1,2.1404,1.0,287,0,597.444,1.0,692.044,1.0,597.444,1.0,25,0.0,0,0.5462,5.3
4011,50,dijkstra,225,225,716.733,720.0,1376.4,2.0125,1.0,275,0,720.702,1.0,712.764,1.0,720.702,1.0,135,0.0,0,,7.0
4019,75,mappo_off,338,112,319.06,290.0,593.3,2.3207,1.0,138,0,340.553,1.0,254.196,1.0,340.553,1.0,122,0.0,0,0.5066,9.0
4013,100,mappo_off,450,0,619.3,624.0,1129.1,1.9832,1.0,275,0,619.3,1.0,,,619.3,1.0,275,0.0,0,0.5416,21.2
