seed,level_pct,arm,n_subset,n_static,fleet_mean_tt,fleet_p50_tt,fleet_p90_tt,fleet_p95_p50,fleet_completion,fleet_deadline_misses,fleet_unfinished,subset_mean_tt,subset_completion,static_mean_tt,static_completion,strsumo_avg_tt,strsumo_completion,strsumo_deadlines,strsumo_timeout_rate,step_limit_reached,route_choice_nonzero_rate,wall_seconds
4026,25,dijkstra,112,338,528.0,486.0,1095.4,2.422,1.0,238,0,522.25,1.0,529.905,1.0,522.25,1.0,60,0.0,0,,3.8
4013,10,mappo_off,45,405,550.709,536.5,1118.1,2.1673,1.0,257,0,640.867,1.0,540.691,1.0,640.867,1.0,26,0.0,0,0.5161,5.4
4017,50,dijkstra,225,225,545.064,473.0,1133.0,2.4863,1.0,252,0,546.871,1.0,543.258,1.0,546.871,1.0,121,0.0,0,,5.2
4025,10,mappo_on,45,405,602.307,552.5,1197.0,2.3198,1.0,226,0,639.356,1.0,598.19,1.0,639.356,1.0,21,0.0,0,0.3333,4.9
4022,75,mappo_off,338,112,549.189,510.5,1037.4,2.1982,1.0,245,0,546.704,1.0,556.688,1.0,546.704,1.0,180,0.0,0,0.5263,14.2
4026,75,dijkstra,338,112,549.031,511.5,1125.2,2.2974,1.0,240,0,559.112,1.0,518.607,1.0,559.112,1.0,182,0.0,0,,7.2
4020,75,mappo_on,338,112,257.676,228.5,466.6,2.2912,1.0,85,0,275.462,1.0,204.0,1.0,275.462,1.0,73,0.0,0,0.3521,8.2
4022,50,mappo_off,225,225,548.46,536.5,1052.0,2.0983,1.0,247,0,526.404,1.0,570.516,1.0,526.404,1.0,113,0.0,0,0.5393,10.6
4018,25,mappo_off,112,338,318.453,222.5,735.4,3.524,1.0,145,0,383.929,1.0,296.757,1.0,383.929,1.0,45,0.0,0,0.4222,5.5
4024,10,mappo_off,45,405,686.638,616.0,1332.3,2.2695,1.0,276,0,573.067,1.0,699.257,1.0,573.067,1.0,22,0.0,0,0.4766,5.9
4022,25,mappo_off,112,338,546.309,513.0,1072.4,2.2486,1.0,249,0,537.375,1.0,549.269,1.0,537.375,1.0,57,0.0,0,0.5797,7.3
4027,75,mappo_off,338,112,757.113,758.0,1468.1,2.0523,1.0,285,0,816.905,1.0,576.67,1.0,816.905,1.0,228,0.0,0,0.5616,20.3
4021,10,mappo_on,45,405,463.598,389.0,990.3,2.7072,1.0,210,0,394.778,1.0,471.244,1.0,394.778,1.0,21,0.0,0,0.5514,4.2
4023,75,mappo_off,338,112,578.522,506.5,1113.2,2.3536,1.0,256,0,619.95,1.0,453.5,1.0,619.95,1.0,203,0.0,0,0.509,18.4
4023,10,dijkstra,45,405,573.071,522.5,1171.7,2.3762,1.0,267,0,633.711,1.0,566.333,1.0,633.711,1.0,26,0.0,0,,2.6
4015,75,mappo_on,338,112,803.38,849.5,1308.2,1.6295,1.0,368,0,810.722,1.0,781.223,1.0,810.722,1.0,278,0.0,0,0.4254,20.1
4016,50,mappo_on,225,225,205.633,199.5,365.0,1.9699,1.0,42,0,235.342,1.0,175.924,1.0,235.342,1.0,31,0.0,0,0.3177,5.8
4013,75,mappo_off,338,112,568.438,571.5,1055.0,2.0126,1.0,250,0,584.003,1.0,521.464,1.0,584.003,1.0,184,0.0,0,0.4178,17.7
