checkpoint,seed,sample_idx,avg_travel_time,p50_travel_time,p90_travel_time,completion_rate,route_choice_nonzero_rate,baseline_avg_travel_time,baseline_p90_travel_time,greedy_ep74_avg_travel_time,greedy_ep74_p90_travel_time
ep149_final,6008,1,301.5111111111111,268.0,583.1,1.0,0.3831009023789992,331.14444444444445,740.3000000000001,303.5466666666667,588.3000000000001
ep149_final,6008,2,297.70666666666665,274.5,576.3000000000001,1.0,0.4012738853503185,331.14444444444445,740.3000000000001,303.5466666666667,588.3000000000001
ep149_final,6009,0,310.6688888888889,290.5,600.4000000000001,1.0,0.43543223052294555,268.5177777777778,468.0,311.30444444444447,569.1
ep149_final,6009,1,302.7911111111111,277.0,571.1,1.0,0.4309978768577495,268.5177777777778,468.0,311.30444444444447,569.1
ep149_final,6009,2,299.40444444444444,273.0,558.3000000000001,1.0,0.41622198505869795,268.5177777777778,468.0,311.30444444444447,569.1
ep149_final,6010,0,638.6044444444444,613.0,1186.2,1.0,0.4377652050919378,653.6777777777778,1255.0,634.3888888888889,1208.0
ep149_final,6010,1,631.2755555555556,610.0,1175.1,1.0,0.41869021339220014,653.6777777777778,1255.0,634.3888888888889,1208.0
ep149_final,6010,2,636.3133333333334,639.0,1183.2,1.0,0.4112718964204113,653.6777777777778,1255.0,634.3888888888889,1208.0
ep149_final,6011,0,334.9711111111111,324.0,613.2,1.0,0.3888888888888889,368.44666666666666,690.2,336.3488888888889,617.1
ep149_final,6011,1,343.46222222222224,362.0,613.2,1.0,0.40490196078431373,368.44666666666666,690.2,336.3488888888889,617.1
ep149_final,6011,2,324.15555555555557,300.5,608.0,1.0,0.3990196078431373,368.44666666666666,690.2,336.3488888888889,617.1
ep149_final,6012,0,320.94,313.0,582.3000000000001,1.0,0.3717627401837928,284.0888888888889,504.1,294.1911111111111,567.2
ep149_final,6012,1,312.94666666666666,288.0,589.0,1.0,0.3542713567839196,284.0888888888889,504.1,294.1911111111111,567.2
ep149_final,6012,2,332.3377777777778,345.0,601.5000000000001,1.0,0.36863379143088115,284.0888888888889,504.1,294.1911111111111,567.2
ep149_final,6013,0,559.7888888888889,551.5,996.2,1.0,0.30126182965299686,568.7022222222222,1053.3000000000002,562.4577777777778,1003.2
ep149_final,6013,1,554.5422222222222,549.5,1007.0,1.0,0.2837620578778135,568.7022222222222,1053.3000000000002,562.4577777777778,1003.2
ep149_final,6013,2,561.5755555555555,548.0,1012.4000000000001,1.0,0.30234375,568.7022222222222,1053.3000000000002,562.4577777777778,1003.2
ep149_final,6014,0,359.7711111111111,365.5,653.0,1.0,0.30692243536280234,401.1688888888889,751.1,338.99111111111114,619.1
ep149_final,6014,1,353.44666666666666,349.0,640.1,1.0,0.30084033613445377,401.1688888888889,751.1,338.99111111111114,619.1
ep149_final,6014,2,351.2688888888889,351.0,627.0,1.0,0.31291946308724833,401.1688888888889,751.1,338.99111111111114,619.1
ep149_final,6015,0,612.8244444444445,603.0,1132.4,1.0,0.4682926829268293,1405.5733333333333,2384.3,611.8955555555556,1134.3000000000002
ep149_final,6015,1,544.3266666666667,522.0,1040.4,1.0,0.5,1405.5733333333333,2384.3,611.8955555555556,1134.3000000000002
ep149_final,6015,2,580.3755555555556,560.5,1097.1000000000004,1.0,0.47619047619047616,1405.5733333333333,2384.3,611.8955555555556,1134.3000000000002
ep149_final,6016,0,575.7977777777778,534.0,1069.0,1.0,0.45161290322580644,519.7533333333333,1037.8000000000004,557.8244444444445,1100.2
ep149_final,6016,1,539.0555555555555,501.0,1085.1,1.0,0.46274038461538464,519.7533333333333,1037.8000000000004,557.8244444444445,1100.2
ep149_final,6016,2,566.2977777777778,535.5,1080.2,1.0,0.4416058394160584,519.7533333333333,1037.8000000000004,557.8244444444445,1100.2
ep149_final,6017,0,558.38,550.5,1022.1,1.0,0.4700507614213198,687.18,1285.8000000000002,590.3511111111111,1090.0
